SubscriptionMonth,Country,Hackerspace,TrackName,ProductScheduleStandardized,StudentGender,Industry,AgeGroup,ExperienceLevel,ChurnFlag,TotalSubscriptions,AvgProgress,TotalDiplomas,AvgExperience,DiplomaRate
2024-01,Côte d'Ivoire,Ivory Coast Online Hackerspace,Data Scientist Bootcamp*,Night,Male,Design,35-49,No Experience,Active / In Progress,1,100.0,0,0.0,0.0
2024-01,Côte d'Ivoire,Ivory Coast Online Hackerspace,Data Scientist Bootcamp*,Night,Male,Management,18-24,Junior,Completed,1,99.16,1,1.0,1.0
2024-01,Côte d'Ivoire,Ivory Coast Online Hackerspace,Data Scientist Bootcamp*,Night,Male,Research And Development,35-49,Mid-Level,Active / In Progress,1,84.92,0,3.0,0.0
2024-01,Côte d'Ivoire,Ivory Coast Online Hackerspace,Software Developer Bootcamp*,Night,Male,Management,35-49,Junior,Active / In Progress,1,99.78,0,2.0,0.0
2024-01,Côte d'Ivoire,Ivory Coast Online Hackerspace,Software Developer Bootcamp*,Night,Male,Research And Development,35-49,Mid-Level,Active / In Progress,1,51.33,0,3.0,0.0
2024-01,Côte d'Ivoire,Ivory Coast Online Hackerspace,Software Developer Bootcamp*,Night,Male,Sales,18-24,Junior,Active / In Progress,1,46.49,0,1.0,0.0
2024-01,Côte d'Ivoire,Ivory Coast Online Hackerspace,Software Developer Bootcamp*,Night,Male,Sales,25-34,Mid-Level,Active / In Progress,1,92.61,0,3.0,0.0
2024-01,Côte d'Ivoire,Marcory Zone 4,Performance Marketing - Meta Certified,Code Schedule,Female,Research And Development,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Côte d'Ivoire,Marcory Zone 4,Performance Marketing - Meta Certified,Code Schedule,Female,Unknown,35-49,No Experience,Active / In Progress,1,100.0,0,0.0,0.0
2024-01,Côte d'Ivoire,Marcory Zone 4,Performance Marketing - Meta Certified,Code Schedule,Male,Engineering And Technology,25-34,No Experience,Active / In Progress,1,98.86,0,0.0,0.0
2024-01,Côte d'Ivoire,Marcory Zone 4,Performance Marketing - Meta Certified,Code Schedule,Male,Marketing,18-24,No Experience,Active / In Progress,1,100.0,0,0.0,0.0
2024-01,Côte d'Ivoire,Marcory Zone 4,Python Essentials*,Code Schedule,Male,Operations,18-24,No Experience,Completed,1,99.28,1,0.0,1.0
2024-01,Côte d'Ivoire,Marcory Zone 4,Python Essentials*,Code Schedule,Male,Unknown,35-49,Mid-Level,Completed,1,100.0,1,4.0,1.0
2024-01,Côte d'Ivoire,Marcory Zone 4,Python Essentials*,Code Schedule,Unknown,Marketing,Unknown,No Experience,Likely Churned,1,0.0,0,0.0,0.0
2024-01,Côte d'Ivoire,Marcory Zone 4,Web Development Essentials*,Code Schedule,Female,Engineering And Technology,18-24,No Experience,Completed,1,98.35,1,0.0,1.0
2024-01,Côte d'Ivoire,Marcory Zone 4,Web Development Essentials*,Code Schedule,Female,Sales,18-24,Junior,Active / In Progress,1,78.33,0,1.0,0.0
2024-01,Côte d'Ivoire,Marcory Zone 4,Web Development Essentials*,Code Schedule,Male,Management,18-24,No Experience,Active / In Progress,2,59.665,0,0.0,0.0
2024-01,Côte d'Ivoire,Marcory Zone 4,Web Development Essentials*,Code Schedule,Male,Management,18-24,No Experience,Completed,1,100.0,1,0.0,1.0
2024-01,Côte d'Ivoire,Marcory Zone 4,Web Development Essentials*,Code Schedule,Male,Sales,18-24,No Experience,Active / In Progress,1,100.0,0,0.0,0.0
